pivot table for the ST_CODE and OWN_HOME:
"VARIABLE, LEVEL, Y, N, %Y, %N"
"ST_CODE, NC, 1, 2, 7.69230769231, 15.3846153846"
"ST_CODE, NJ, 2, 0, 15.3846153846, 0.0"
"ST_CODE, NY, 3, 3, 23.0769230769, 23.0769230769"
"ST_CODE, RI, 0, 1, 0.0, 7.69230769231"
"ST_CODE, VA, 1, 0, 7.69230769231, 0.0"
 
pivot table for the OWN_HOME and OWN_HOME:
"VARIABLE, LEVEL, Y, N, %Y, %N"
"OWN_HOME, N, 0, 6, 0.0, 46.1538461538"
"OWN_HOME, Y, 7, 0, 53.8461538462, 0.0"
 
pivot table for the RENEW and RENEW:
"VARIABLE, LEVEL, Y, N, %Y, %N"
"RENEW, N, 0, 4, 0.0, 30.7692307692"
"RENEW, Y, 9, 0, 69.2307692308, 0.0"
 
